product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,latitude,longitude,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,net_profit,date
cosmetics,SKU0,27.2637290137198,89,732,17961.3446742386,Non-binary,51,1,67,6,Carrier A,3.18468036824518,Supplier 5,Houston,29.7604,-95.3698,17,219,19,88.8944510387642,Pass,4.23033843937722,Sea,Route A,447.332919606018,17425.11730359382,2018-01-01
skincare,SKU1,88.229993296814,56,180,9665.063272,Male,33,13,22,4,Carrier C,4.56068598908439,Supplier 3,Miami,25.7617,-80.1918,9,641,7,77.5378553875348,Fail,0.876550073619786,Rail,Route C,575.385460775046,9012.139955837418,2018-01-02
skincare,SKU2,31.3864992561798,94,874,2139.90285562474,Male,66,27,82,8,Carrier B,13.4864148244829,Supplier 4,Miami,25.7617,-80.1918,28,659,26,63.2344174452977,Fail,3.72274508524897,Road,Route C,884.800387570106,1191.868050609336,2018-01-03
cosmetics,SKU3,24.5328259626788,93,257,5674.44264516761,Unknown,38,18,15,5,Carrier A,14.559358841157,Supplier 4,Miami,25.7617,-80.1918,29,278,14,86.9003329870028,Fail,3.75817349534708,Road,Route A,806.855925684429,4780.686386496178,2018-01-04
haircare,SKU4,5.03158808144649,84,970,5328.47447275873,Unknown,7,18,96,5,Carrier C,14.2798260065206,Supplier 1,Houston,29.7604,-95.3698,9,193,21,33.47041995,Pass,3.61290915418242,Air,Route A,994.771926794084,4300.232126014646,2018-01-05
skincare,SKU5,6.68034191325943,85,250,4386.80635259497,Female,95,13,67,9,Carrier B,3.70697960180747,Supplier 4,Miami,25.7617,-80.1918,27,666,14,91.84836118,Pending,4.03511449564532,Road,Route A,762.117381310633,3532.840610104337,2018-01-06
skincare,SKU6,62.2425505650721,61,743,4268.70211344602,Male,28,22,26,8,Carrier A,13.6125189152945,Supplier 2,Los Angeles,34.0522,-118.2437,28,847,18,43.2809152769192,Pass,3.34105929778727,Air,Route A,293.077205985269,3932.343992183832,2018-01-07
cosmetics,SKU7,20.637155234168,22,110,2043.07836818263,Unknown,21,30,82,8,Carrier A,2.98107421260371,Supplier 2,Los Angeles,34.0522,-118.2437,11,401,10,85.2806825045192,Pass,1.39461872348464,Rail,Route B,726.472136495784,1231.325549182327,2018-01-08
haircare,SKU8,41.7137799101189,35,197,7169.847585,Male,83,14,21,5,Carrier A,8.10724291026609,Supplier 2,Miami,25.7617,-80.1918,17,898,3,12.8499051666372,Pass,1.30308513984402,Sea,Route B,654.187594988642,6502.810084844721,2018-01-09
haircare,SKU9,58.6219036144938,16,320,4925.9297540804,Female,69,11,95,8,Carrier A,10.0112871417012,Supplier 3,Miami,25.7617,-80.1918,14,517,6,30.8952293217948,Pending,1.62258967045171,Sea,Route A,289.107897134005,4605.9266276246,2018-01-10
cosmetics,SKU10,26.5187442516616,50,306,7303.26216690761,Male,60,7,61,10,Carrier C,7.47453622340586,Supplier 2,Chicago,41.8781,-87.6298,18,959,29,83.5642323906665,Pending,2.60198183258427,Rail,Route C,316.865651520256,6902.832282996687,2018-01-11
haircare,SKU11,25.1167583132204,43,552,8344.30152071861,Female,42,18,85,7,Carrier A,14.3257240958353,Supplier 2,New York,40.7128,-74.006,18,685,22,70.4416656979183,Pass,4.02226961664311,Air,Route B,687.508128018263,7586.351727002429,2018-01-12
haircare,SKU12,51.0371507667921,17,958,8223.04673336465,Female,48,21,79,1,Carrier A,5.66497812328247,Supplier 5,Los Angeles,34.0522,-118.2437,12,551,23,38.7397726445701,Fail,2.49321875444813,Air,Route A,827.036794514779,7357.270166205301,2018-01-13
skincare,SKU13,76.65408671,80,720,5377.52465280004,Unknown,28,22,82,7,Carrier A,8.383287283,Supplier 3,Houston,29.7604,-95.3698,18,516,22,13.7227420737376,Pass,1.49021347812037,Rail,Route C,786.1636572,4577.638253526302,2018-01-14
skincare,SKU14,63.8522863837208,58,938,3686.05595032984,Unknown,80,4,61,8,Carrier A,2.05629909671529,Supplier 2,Houston,29.7604,-95.3698,8,923,9,25.6480764448614,Fail,4.41987149355924,Road,Route B,645.770701481277,3014.637172403702,2018-01-15
haircare,SKU15,33.2487295824996,2,783,6742.83453216807,Non-binary,30,17,46,3,Carrier A,12.93114412,Supplier 1,Miami,25.7617,-80.1918,29,221,14,33.3248817132393,Pass,0.275449787211823,Road,Route B,943.788058782793,5765.721591672038,2018-01-16
cosmetics,SKU16,35.7935639968872,4,272,8762.26446643799,Non-binary,52,19,12,9,Carrier B,6.78708754321522,Supplier 2,New York,40.7128,-74.006,8,156,21,90.050285930783,Pass,3.9854574194904,Road,Route A,757.94098272614,7914.273197781066,2018-01-17
skincare,SKU17,21.2131520622498,85,174,3124.0713729134,Unknown,33,14,17,8,Carrier C,10.8074496182879,Supplier 3,Los Angeles,34.0522,-118.2437,26,884,21,28.335210412702,Pending,3.92190878960927,Rail,Route C,587.724360423487,2508.011802077211,2018-01-18
